"Sr. No.","TIN","GSTIN/PID","Firm Name","Address","Assessment Circle","Tax Type","Return Form Type","RC Effective Date","Status","Cancellation Date","Type Of Dealer"
"9","33281466529","33BLUPA3971J1ZT","NEW DAILY HARDWARES","N.No.96,Plot No.10,2nd Floor,Jawaharlal Nehru Road,Vadapalanichennai,Tamil Nadu,600026","VADAPALANI (Circle)","Central Sales Tax","CST FORM NO.1","05/03/2014","Active","-","Normal Dealer"
"10","33281466529","33BLUPA3971J1ZT","NEW DAILY HARDWARES","N.No.96,Plot No.10,2nd Floor,Jawaharlal Nehru Road,Vadapalanichennai,Tamil Nadu,600026","VADAPALANI (Circle)","Value Added Tax","VAT FORM I","05/03/2014","Active","-","Normal Dealer"
"1","33291440479","33AFBPM3226J1ZQ","APNA ENGINEERS","H-26,Na,Central Avenue,Chennai,Tamil Nadu,Thiruvallur,666666","KORATTUR (Circle)","Central Sales Tax","CST FORM NO.1","09/06/2009","Active","-","Normal Dealer"
"2","33291440479","33AFBPM3226J1ZQ","APNA ENGINEERS","H-26,Na,Central Avenue,Chennai,Tamil Nadu,Thiruvallur,666666","KORATTUR (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"3","33744342132","33ADFFS6930D1Z9","SAPNA CUTPIECE & READYMADE","4,Kasim Street,Pernambut,Tamil Nadu,Vellore,635810","GUDIYATHAM (WEST) (Circle)","Central Sales Tax","CST FORM NO.1","09/12/2004","Active","-","Normal Dealer"
"4","33744342132","33ADFFS6930D1Z9","SAPNA CUTPIECE & READYMADE","4,Kasim Street,Pernambut,Tamil Nadu,Vellore,635810","GUDIYATHAM (WEST) (Circle)","Value Added Tax","VAT FORM I,VAT FORM I-1","01/01/2007","Active","-","Normal Dealer"
"5","33970240603","33AAHPJ6646G1ZQ","SAPNA ENTERPRISES","Golden Arch Complex 44/11,Na,Strotten Muthiah Mudali Street,Chennai,Tamil Nadu,600079","SOWCARPET (Circle)","Central Sales Tax","CST FORM NO.1","19/01/2007","Active","-","Normal Dealer"
"6","33970240603","33AAHPJ6646G1ZQ","SAPNA ENTERPRISES","Golden Arch Complex 44/11,Na,Strotten Muthiah Mudali Street,Chennai,Tamil Nadu,600079","SOWCARPET (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"7","33572740804","33ABVPJ8494P1ZH","SAPNA RAYONS","48-J,Na,Devangapillaiarkoil Street, Shevapet,,Salem,Tamil Nadu,636002","SEVAPET (Circle)","Central Sales Tax","CST FORM NO.1","04/11/2009","Active","-","Normal Dealer"
"8","33572740804","33ABVPJ8494P1ZH","SAPNA RAYONS","48-J,Na,Devangapillaiarkoil Street, Shevapet,,Salem,Tamil Nadu,636002","SEVAPET (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"9","33806362803","33FZFPS4998G1ZO","SAPNA SEEDS AND AGRI AGENCY","1/469,1/470,Ams Complex,Mettala Karkoodalpatty Postrasipuram Taluk,Tamil Nadu,636202","ATTUR (RURAL) (Circle)","Central Sales Tax","CST FORM NO.1","21/01/2016","Active","-","Normal Dealer"
"10","33806362803","33FZFPS4998G1ZO","SAPNA SEEDS AND AGRI AGENCY","1/469,1/470,Ams Complex,Mettala Karkoodalpatty Postrasipuram Taluk,Tamil Nadu,636202","ATTUR (RURAL) (Circle)","Value Added Tax","VAT FORM I","21/01/2016","Active","-","Normal Dealer"
"11","33710906554","33ADHPH6292H1ZI","SAPNA SEPARATION ENGINEERING","No.7/1,Na,Kannaki Street, Vishalakshmi Nagar,Chennai,Tamil Nadu,600032","EKKATUTHANGAL (Circle)","Central Sales Tax","CST FORM NO.1","18/05/2010","Active","-","Normal Dealer"
"12","33710906554","33ADHPH6292H1ZI","SAPNA SEPARATION ENGINEERING","No.7/1,Na,Kannaki Street, Vishalakshmi Nagar,Chennai,Tamil Nadu,600032","EKKATUTHANGAL (Circle)","Value Added Tax","VAT FORM I","18/05/2010","Active","-","Normal Dealer"
"13","33142241539","33AEAPD8319R1ZA","SRI SWAPNAM READY MADES","125,Na,22/4 Palakadu Road,Pollachi,Tamil Nadu,Coimbatore,642001","POLLACHI (WEST) (Circle)","Central Sales Tax","CST FORM NO.1","12/11/1999","Active","-","Normal Dealer"
"14","33142241539","33AEAPD8319R1ZA","SRI SWAPNAM READY MADES","125,Na,22/4 Palakadu Road,Pollachi,Tamil Nadu,Coimbatore,642001","POLLACHI (WEST) (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1","33053521649","33AYKPS3483P1ZL","GHARINI AND CO.","49,Na,Trichy,Tamil Nadu,620001","PALAKARAI (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"2","33481982556","33AAHFN4462E1ZH","NIGHAR WHEEL AND ALIGNMENT","358, Ground Floor And Fir,Na,Ramachandra Layout,Coimbatore,Tamil Nadu,641009","RAM NAGAR (Circle)","Central Sales Tax","CST FORM NO.1","10/09/2009","Active","-","Normal Dealer"
"3","33481982556","33AAHFN4462E1ZH","NIGHAR WHEEL AND ALIGNMENT","358, Ground Floor And Fir,Na,Ramachandra Layout,Coimbatore,Tamil Nadu,641009","RAM NAGAR (Circle)","Value Added Tax","VAT FORM I","10/09/2009","Active","-","Normal Dealer"
"4","33794860812","33BNZPP3898L1ZR","SHANGHAR TRADERS","6,Na,N.M.N. Lane,Madurai,Tamil Nadu,625001","VENGALAKADAI STREET (Circle)","Central Sales Tax","CST FORM NO.1","23/06/1994","Active","-","Normal Dealer"
"5","33794860812","33BNZPP3898L1ZR","SHANGHAR TRADERS","6,Na,N.M.N. Lane,Madurai,Tamil Nadu,625001","VENGALAKADAI STREET (Circle)","Value Added Tax","VAT FORM I,VAT FORM I-1","01/01/2007","Active","-","Normal Dealer"
"6","33533465319","33BHPPD2693K1Z1","SHRI ALAGHAR STEELS","5/7-A,Plot No.123,Mayor Muthu Street,Kknagartrichy,Tamil Nadu,Tiruchirapalli,620021","SRIRANGAM (Circle)","Central Sales Tax","CST FORM NO.1","06/02/2012","Active","-","Normal Dealer"
"7","33533465319","33BHPPD2693K1Z1","SHRI ALAGHAR STEELS","5/7-A,Plot No.123,Mayor Muthu Street,Kknagartrichy,Tamil Nadu,Tiruchirapalli,620021","SRIRANGAM (Circle)","Value Added Tax","VAT FORM I","20/01/2012","Active","-","Normal Dealer"
"8","33671826718","33BIOPS5186A1Z3","SRI SINGHAR ENTERPRISES","64/2-B,Aerodrome Road,Sihs Colony,Neelikonampalayam Postcoimbatore,Tamil Nadu,641033","SINGANALLUR(NORTH) (Circle)","Central Sales Tax","CST FORM NO.1","23/09/2011","Active","-","Normal Dealer"
"9","33671826718","33BIOPS5186A1Z3","SRI SINGHAR ENTERPRISES","64/2-B,Aerodrome Road,Sihs Colony,Neelikonampalayam Postcoimbatore,Tamil Nadu,641033","SINGANALLUR(NORTH) (Circle)","Value Added Tax","VAT FORM I","22/09/2011","Active","-","Normal Dealer"
"1","33491641935","33AALFA6113H1ZS","A.B. BABU SHA DESIGNS","83-B,Na,Sheikpet Nadu Street,Kancheepuram,Tamil Nadu,631502","KANCHEEPURAM (Circle)","Central Sales Tax","CST FORM NO.1","28/06/2005","Active","-","Normal Dealer"
"2","33491641935","33AALFA6113H1ZS","A.B. BABU SHA DESIGNS","83-B,Na,Sheikpet Nadu Street,Kancheepuram,Tamil Nadu,631502","KANCHEEPURAM (Circle)","Value Added Tax","VAT FORM I,VAT FORM I-1","01/01/2007","Active","-","Normal Dealer"
"3","33694123473","33BDHPB6795C1ZP","DESIGAN CHETTIAR AGRO SERVICE PROP.R.BALA KUMAR.S/O.V.RAMASAMY.","324 / 32 - B,Na,Sengipatti Road,Gandharvakottaipudukkottai,Tamil Nadu,Pudukottai,613301","PUDUKOTTAI - II (Circle)","Value Added Tax","VAT FORM I","13/07/2009","Active","-","Normal Dealer"
"4","33806394937","33ABEFA5834F1ZR","ACTIVE DESIGN","1/1285 A/1/1285 A,Palavanjipalayam,Knp Colony,Tamil Nadu,Tiruppur,641608","PONGALUR (Circle)","Central Sales Tax","CST FORM NO.1","30/06/2016","Active","-","Normal Dealer"
"5","33806394937","33ABEFA5834F1ZR","ACTIVE DESIGN","1/1285 A/1/1285 A,Palavanjipalayam,Knp Colony,Tamil Nadu,Tiruppur,641608","PONGALUR (Circle)","Value Added Tax","VAT FORM I","30/06/2016","Active","-","Normal Dealer"
"6","33856456236","33AIXPJ0560D1ZE","ADHAVANSREE DESIGNERS","5b/5/27,Cheran Compound,Maria Nagar, Opp:Revathi Hospitel, Kumarnagar,Tirupur,Tamil Nadu,Tiruppur,641603","TIRUPPUR (NORTH)-2 (Circle)","Central Sales Tax","CST FORM NO.1","01/02/2017","Active","-","Normal Dealer"
"7","33856456236","33AIXPJ0560D1ZE","ADHAVANSREE DESIGNERS","5b/5/27,Cheran Compound,Maria Nagar, Opp:Revathi Hospitel, Kumarnagar,Tirupur,Tamil Nadu,Tiruppur,641603","TIRUPPUR (NORTH)-2 (Circle)","Value Added Tax","VAT FORM I","01/02/2017","Active","-","Normal Dealer"
"8","33561805293","33AATFA1970A1ZR","ADITHYA TOOLS AND DESIGNS","No 17/1,Sidco I Ndustrial Estate,K.V.K Nagar,Madukarai Main Roadcoimbatore,Tamil Nadu,641021","PODANUR (Circle)","Central Sales Tax","CST FORM NO.1","14/04/2011","Active","-","Normal Dealer"
"9","33561805293","33AATFA1970A1ZR","ADITHYA TOOLS AND DESIGNS","No 17/1,Sidco I Ndustrial Estate,K.V.K Nagar,Madukarai Main Roadcoimbatore,Tamil Nadu,641021","PODANUR (Circle)","Value Added Tax","VAT FORM I","14/04/2011","Active","-","Normal Dealer"
"10","33176255916","33AAMCA7131R1Z8","ADROIT DESIGN INDIA PRIVATE LIMITED","C3/12,Bhuvaneswari Apts,Bharathidasan Colony,K K Nagarchennai,Tamil Nadu,600078","EKKATUTHANGAL (Circle)","Central Sales Tax","CST FORM NO.1","01/09/2014","Active","-","Normal Dealer"
"11","33176255916","33AAMCA7131R1Z8","ADROIT DESIGN INDIA PRIVATE LIMITED","C3/12,Bhuvaneswari Apts,Bharathidasan Colony,K K Nagarchennai,Tamil Nadu,600078","EKKATUTHANGAL (Circle)","Value Added Tax","VAT FORM I","01/09/2014","Active","-","Normal Dealer"
"12","33256437575","33BNNPG0033N1Z3","AEG DESIGNS AND DECORS","No. 131/5b,Ii Nd Floor,Vk Main Road,Vilankuruchi Post,Tamil Nadu,Coimbatore,641035","PEELAMEDU (NORTH) (Circle)","Central Sales Tax","CST FORM NO.1","19/12/2016","Active","-","Normal Dealer"
"13","33256437575","33BNNPG0033N1Z3","AEG DESIGNS AND DECORS","No. 131/5b,Ii Nd Floor,Vk Main Road,Vilankuruchi Post,Tamil Nadu,Coimbatore,641035","PEELAMEDU (NORTH) (Circle)","Value Added Tax","VAT FORM I","19/12/2016","Active","-","Normal Dealer"
"14","33480991216","33AALCA3452A1Z8","AGAM DESIGNER HOMES P.LTD","151,Ground Floor,3rd Street,,Rajaji Nagarmadipakkamchennai,Tamil Nadu,Kancheepuram,600091","MADIPAKKAM (Circle)","Central Sales Tax","CST FORM NO.1","20/11/2013","Active","-","Normal Dealer"
"15","33480991216","33AALCA3452A1Z8","AGAM DESIGNER HOMES P.LTD","151,Ground Floor,3rd Street,,Rajaji Nagarmadipakkamchennai,Tamil Nadu,Kancheepuram,600091","MADIPAKKAM (Circle)","Value Added Tax","VAT FORM I,VAT FORM K","20/11/2013","Active","-","Composite Dealer (Section 6 : Work Contractor);Normal Dealer"
"16","33946385902","33AAMCA9649N1ZX","AIRDESIGN BROADCAST MEDIA PRIVATE LIMITED","17/2,1st Floor,Gks Nagar,Papanaickenpalayam,Tamil Nadu,Coimbatore,641037","P N PALAYAM (Circle)","Central Sales Tax","CST FORM NO.1","27/05/2016","Active","-","Normal Dealer"
"17","33946385902","33AAMCA9649N1ZX","AIRDESIGN BROADCAST MEDIA PRIVATE LIMITED","17/2,1st Floor,Gks Nagar,Papanaickenpalayam,Tamil Nadu,Coimbatore,641037","P N PALAYAM (Circle)","Value Added Tax","VAT FORM I","27/05/2016","Active","-","Normal Dealer"
"18","33886414038","33AAOFA1333L1ZK","ALPINEDESIGNER","37/14,Ganga Service Station Complex,Kumar Nagar East, 1st Street, Gandhi Nagar Post,Tirupur,Tamil Nadu,Tiruppur,641603","TIRUPPUR (NORTH)-2 (Circle)","Central Sales Tax","CST FORM NO.1","08/09/2016","Active","-","Normal Dealer"
"19","33886414038","33AAOFA1333L1ZK","ALPINEDESIGNER","37/14,Ganga Service Station Complex,Kumar Nagar East, 1st Street, Gandhi Nagar Post,Tirupur,Tamil Nadu,Tiruppur,641603","TIRUPPUR (NORTH)-2 (Circle)","Value Added Tax","VAT FORM I","08/09/2016","Active","-","Normal Dealer"
"20","33166398978","33AYFPT0098L1Z0","AMI DESIGN","7/A,V.K.Matheen Street,Melvisharam,Tamil Nadu,Vellore,632509","ARCOT (Circle)","Central Sales Tax","CST FORM NO.1","21/07/2016","Active","-","Normal Dealer"
"21","33166398978","33AYFPT0098L1Z0","AMI DESIGN","7/A,V.K.Matheen Street,Melvisharam,Tamil Nadu,Vellore,632509","ARCOT (Circle)","Value Added Tax","VAT FORM I","18/07/2016","Active","-","Normal Dealer"
"22","33476483046","33AYNPA5866F1ZE","AMMAN INTERIOR DESIGNER","3/3,Suppayammal Nagar, Urc Nagar,Veerappampalayam Thindal Post,Tamil Nadu,Erode,638009","THINDAL (Circle)","Central Sales Tax","CST FORM NO.1","14/04/2017","Active","-","Normal Dealer"
"23","33476483046","33AYNPA5866F1ZE","AMMAN INTERIOR DESIGNER","3/3,Suppayammal Nagar, Urc Nagar,Veerappampalayam Thindal Post,Tamil Nadu,Erode,638009","THINDAL (Circle)","Value Added Tax","VAT FORM I","14/04/2017","Active","-","Normal Dealer"
"24","33646403780","33AMFPA2106C1Z5","ANGU DESIGNS","35(1),Bridgeway Colony Extn. 2nd Street,Tiruppur,Tamil Nadu,641607","TIRUPPUR LAKSHMI NAGAR (Circle)","Central Sales Tax","CST FORM NO.1","07/07/2016","Active","-","Normal Dealer"
"25","33646403780","33AMFPA2106C1Z5","ANGU DESIGNS","35(1),Bridgeway Colony Extn. 2nd Street,Tiruppur,Tamil Nadu,641607","TIRUPPUR LAKSHMI NAGAR (Circle)","Value Added Tax","VAT FORM I","07/07/2016","Active","-","Normal Dealer"
"26","33341386859","33AAGCA5838F1ZT","ANUJ DESIGNER TILES PRIVATE LIMITED","No.354/2,Na,Kundrathur High Road,Chennai,Tamil Nadu,600116","AYYAPPANTHANGAL (Circle)","Central Sales Tax","CST FORM NO.1","09/10/2009","Active","-","Normal Dealer"
"27","33341386859","33AAGCA5838F1ZT","ANUJ DESIGNER TILES PRIVATE LIMITED","No.354/2,Na,Kundrathur High Road,Chennai,Tamil Nadu,600116","AYYAPPANTHANGAL (Circle)","Value Added Tax","VAT FORM I","27/04/2007","Active","-","Normal Dealer"
"28","33416274020","33ABAFA7764J1ZD","ANURA DESIGNERS","No 31,R.V.E. Nagar ., 3rd Street,,Maniyakarampalayam Road Kangayam Road Tirupur,Tamil Nadu,Tiruppur,641604","PONGALUR (Circle)","Central Sales Tax","CST FORM NO.1","11/11/2014","Active","-","Normal Dealer"
"29","33416274020","33ABAFA7764J1ZD","ANURA DESIGNERS","No 31,R.V.E. Nagar ., 3rd Street,,Maniyakarampalayam Road Kangayam Road Tirupur,Tamil Nadu,Tiruppur,641604","PONGALUR (Circle)","Value Added Tax","VAT FORM I","10/11/2014","Active","-","Normal Dealer"
"30","33246376951","33ASWPA0696A1ZX","ANZ DESIGNS","7/363,Ganapathipalayam Post, Veerapandi Via,Tirupur,Tamil Nadu,Tiruppur,641602","PALLADAM-1 (Circle)","Central Sales Tax","CST FORM NO.1","18/04/2016","Active","-","Normal Dealer"
"31","33246376951","33ASWPA0696A1ZX","ANZ DESIGNS","7/363,Ganapathipalayam Post, Veerapandi Via,Tirupur,Tamil Nadu,Tiruppur,641602","PALLADAM-1 (Circle)","Value Added Tax","VAT FORM I","18/04/2016","Active","-","Normal Dealer"
"32","33612224936","33AIAPP2873N1ZY","APEX DESIGN CENTER","43-C7,Na,Bharathi Nagar, Ganesh Garden,Coimbatore,Tamil Nadu,641006","AVARAMPALAYAM (Circle)","Central Sales Tax","CST FORM NO.1","22/08/2008","Active","-","Normal Dealer"
"33","33612224936","33AIAPP2873N1ZY","APEX DESIGN CENTER","43-C7,Na,Bharathi Nagar, Ganesh Garden,Coimbatore,Tamil Nadu,641006","AVARAMPALAYAM (Circle)","Value Added Tax","VAT FORM I","22/08/2008","Active","-","Normal Dealer"
"34","33666259284","33COVPM0717F1ZW","ARTHI DESIGNING AND PATTERN WORKS","97/1,Na,1-St Floor,Sri Ram Nagar, Ii-Nd Street,,Fciroadgandhi Managarcoimbatore,Tamil Nadu,641004","PEELAMEDU (NORTH) (Circle)","Central Sales Tax","CST FORM NO.1","08/10/2014","Active","-","Normal Dealer"
"35","33666259284","33COVPM0717F1ZW","ARTHI DESIGNING AND PATTERN WORKS","97/1,Na,1-St Floor,Sri Ram Nagar, Ii-Nd Street,,Fciroadgandhi Managarcoimbatore,Tamil Nadu,641004","PEELAMEDU (NORTH) (Circle)","Value Added Tax","VAT FORM I","08/10/2014","Active","-","Normal Dealer"
"36","33461664892","33AAZPA1776A1ZW","ARUDHRA MACHINES DESIGN ENGINEERING","Plot No.41,Na,Chennai,Tamil Nadu,600056","THIRUMAZHISAI (Circle)","Central Sales Tax","CST FORM NO.1","16/10/2008","Active","-","Normal Dealer"
"37","33461664892","33AAZPA1776A1ZW","ARUDHRA MACHINES DESIGN ENGINEERING","Plot No.41,Na,Chennai,Tamil Nadu,600056","THIRUMAZHISAI (Circle)","Value Added Tax","VAT FORM I","09/10/2008","Active","-","Normal Dealer"
"38","33396321076","33AANCA3153C1Z4","ASENSO DESIGNER CLOTHING PRIVATE LIMITED","214,First Floor,Sirupooluvapatti Posttirupur,Tamil Nadu,641603","GANDHI NAGAR (Circle)","Central Sales Tax","CST FORM NO.1","17/07/2015","Active","-","Normal Dealer"
"39","33396321076","33AANCA3153C1Z4","ASENSO DESIGNER CLOTHING PRIVATE LIMITED","214,First Floor,Sirupooluvapatti Posttirupur,Tamil Nadu,641603","GANDHI NAGAR (Circle)","Value Added Tax","VAT FORM I","17/07/2015","Active","-","Normal Dealer"
"40","33076441473","33AOCPA5458G1ZB","ASHA PRABHU DESIGNS","224/4/3,Kilpauk Garden Road,Kilpauk,Tamil Nadu,Chennai,600010","AYANAVARAM (Circle)","Central Sales Tax","CST FORM NO.1","18/11/2016","Active","-","Normal Dealer"
"41","33076441473","33AOCPA5458G1ZB","ASHA PRABHU DESIGNS","224/4/3,Kilpauk Garden Road,Kilpauk,Tamil Nadu,Chennai,600010","AYANAVARAM (Circle)","Value Added Tax","VAT FORM I","17/11/2016","Active","-","Normal Dealer"
"42","33091843527","33AAMCA5456H1ZL","AUROBLISS DESIGNER JEWELS PRIVATE LIMITED","No.89/1,Na,Ashok Nagar,Chetty Streetcoimbatore,Tamil Nadu,641001","BAZAAR STREET (Circle)","Central Sales Tax","CST FORM NO.1","30/04/2014","Active","-","Normal Dealer"
"43","33091843527","33AAMCA5456H1ZL","AUROBLISS DESIGNER JEWELS PRIVATE LIMITED","No.89/1,Na,Ashok Nagar,Chetty Streetcoimbatore,Tamil Nadu,641001","BAZAAR STREET (Circle)","Value Added Tax","VAT FORM I","28/04/2014","Active","-","Normal Dealer"
"44","33206408965","33ANSPM2395K1ZE","AZZA DESIGN TRADING CENTRE","2/3,Vasanthagarden Main Street,Ayanavaram,Tamil Nadu,Chennai,600023","AYANAVARAM (Circle)","Central Sales Tax","CST FORM NO.1","27/07/2016","Active","-","Normal Dealer"
"45","33206408965","33ANSPM2395K1ZE","AZZA DESIGN TRADING CENTRE","2/3,Vasanthagarden Main Street,Ayanavaram,Tamil Nadu,Chennai,600023","AYANAVARAM (Circle)","Value Added Tax","VAT FORM I","26/07/2016","Active","-","Normal Dealer"
"46","33596478378","33BDUPB9850M1ZX","A.J.DESIGNERS & PRINTERS","4/1287a,Samypuram Colony,Sivakasi,Tamil Nadu,Virudhunagar,626189","VIRUDHUNAGAR - III (Circle)","Central Sales Tax","CST FORM NO.1","08/04/2017","Active","-","Normal Dealer"
"47","33596478378","33BDUPB9850M1ZX","A.J.DESIGNERS & PRINTERS","4/1287a,Samypuram Colony,Sivakasi,Tamil Nadu,Virudhunagar,626189","VIRUDHUNAGAR - III (Circle)","Value Added Tax","VAT FORM I","08/04/2017","Active","-","Normal Dealer"
"48","33186442917","33ADGPN7949E2ZC","BADVIG DESIGNS","41,2nd Floor,2nd Main Road, Ram Nagar South Extension,Madipakkam Chennai,Tamil Nadu,600091","MADIPAKKAM (Circle)","Central Sales Tax","CST FORM NO.1","02/01/2017","Active","-","Normal Dealer"
"49","33186442917","33ADGPN7949E2ZC","BADVIG DESIGNS","41,2nd Floor,2nd Main Road, Ram Nagar South Extension,Madipakkam Chennai,Tamil Nadu,600091","MADIPAKKAM (Circle)","Value Added Tax","VAT FORM I","02/01/2017","Active","-","Normal Dealer"
"50","33696448201","33BZSPK2884C1Z6","BALAJI DESIGNERS","17/22,25/8(1),Lakshmi Nagar 6th Street,,Tirupur,Tamil Nadu,Tiruppur,641602","TIRUPPUR LAKSHMI NAGAR (Circle)","Central Sales Tax","CST FORM NO.1","06/01/2017","Active","-","Normal Dealer"
"51","33696448201","33BZSPK2884C1Z6","BALAJI DESIGNERS","17/22,25/8(1),Lakshmi Nagar 6th Street,,Tirupur,Tamil Nadu,Tiruppur,641602","TIRUPPUR LAKSHMI NAGAR (Circle)","Value Added Tax","VAT FORM I","02/01/2017","Active","-","Normal Dealer"
"52","33536313142","33AAPFB0205P1ZH","BERYLL DESIGN ONE","24,Na,Bharathi Park Main Road,Saibaba Colonycoimbatore,Tamil Nadu,641043","METTUPALAYAM RD (Circle)","Central Sales Tax","CST FORM NO.1","05/06/2015","Active","-","Normal Dealer"
"53","33536313142","33AAPFB0205P1ZH","BERYLL DESIGN ONE","24,Na,Bharathi Park Main Road,Saibaba Colonycoimbatore,Tamil Nadu,641043","METTUPALAYAM RD (Circle)","Value Added Tax","VAT FORM I","05/06/2015","Active","-","Normal Dealer"
"54","33071327110","33AROPV6392D1ZB","BESTEC DESIGNERS","9/44,Thiruvalluvar Street,T M P Nagar Extn Padi Chennai,Tamil Nadu,Thiruvallur,600050","AMBATUR INDUSTRIAL ESTATE (Circle)","Central Sales Tax","CST FORM NO.1","26/04/2013","Active","-","Normal Dealer"
"55","33071327110","33AROPV6392D1ZB","BESTEC DESIGNERS","9/44,Thiruvalluvar Street,T M P Nagar Extn Padi Chennai,Tamil Nadu,Thiruvallur,600050","AMBATUR INDUSTRIAL ESTATE (Circle)","Value Added Tax","VAT FORM I","24/04/2013","Active","-","Normal Dealer"
"56","33846338143","33AAOFB8035A1ZT","BHAVYA DESIGNS","No.9/72b,,First Floo,Radha Krishna Street, Avinashi Road,Ammapalayam,Tamil Nadu,Tiruppur,641652","ANUPPARPALAYAM (Circle)","Central Sales Tax","CST FORM NO.1","16/09/2015","Active","-","Normal Dealer"
"57","33846338143","33AAOFB8035A1ZT","BHAVYA DESIGNS","No.9/72b,,First Floo,Radha Krishna Street, Avinashi Road,Ammapalayam,Tamil Nadu,Tiruppur,641652","ANUPPARPALAYAM (Circle)","Value Added Tax","VAT FORM I","02/09/2015","Active","-","Normal Dealer"
"58","33760762239","33AAACB8984B1ZT","BUILT-TECH DESIGNS PRIVATE LTD","83/44,Na,L.B.Road,Thiruvanmiyurchennai,Tamil Nadu,600041","THIRUVANMIYUR (Circle)","Central Sales Tax","CST FORM NO.1","11/12/2007","Active","-","Normal Dealer"
"59","33760762239","33AAACB8984B1ZT","BUILT-TECH DESIGNS PRIVATE LTD","83/44,Na,L.B.Road,Thiruvanmiyurchennai,Tamil Nadu,600041","THIRUVANMIYUR (Circle)","Value Added Tax","VAT FORM I,VAT FORM K","01/04/2007","Active","-","Composite Dealer (Section 6 : Work Contractor);Normal Dealer"
"60","33046499482","33BNYPS4960D2ZG","B.K.SIVA DESIGNERS","590b,,Ganesh Nagar,,Pitchampalayam Pudhur,,P N Road,Tamil Nadu,Tiruppur,641603","GANDHI NAGAR (Circle)","Central Sales Tax","CST FORM NO.1","10/06/2017","Active","-","Normal Dealer"
"61","33046499482","33BNYPS4960D2ZG","B.K.SIVA DESIGNERS","590b,,Ganesh Nagar,,Pitchampalayam Pudhur,,P N Road,Tamil Nadu,Tiruppur,641603","GANDHI NAGAR (Circle)","Value Added Tax","VAT FORM I","10/06/2017","Active","-","Normal Dealer"
"62","33600929458","33AAFCC5999L1Z1","C360 DESIGN SOLUTIONS PRIVATE LIMITED","Vg2,63,Ambrosia Apartments,Ganapathy Nagar,Semmencherychennai,Tamil Nadu,600119","KELAMBAKKAM (Circle)","Central Sales Tax","CST FORM NO.1","20/06/2014","Active","-","Normal Dealer"
